BTAG,FLETAG,FLESUBTAG,FEATURES,TOKENS,,DESCRIPTON
(,PUNCT,,,,(,opening parenthesis
),PUNCT,,,,),closing parenthesis
*,NEG,,,,not n't,negator
",",PUNCT,,,,",",comma
--,PUNCT,,,,--,dash
.,SE,,,,. ? ; ! :,sentence terminator
:,PUNCT,,,,:,colon
ABL,ADV,Intensifying,,,quite such rather,"determiner/pronoun, pre-qualifier"
ABN,PRON,PreQuant,,,all half many nary,"determiner/pronoun, pre-quantifier"
ABX,PRON,PreQuant,,,both,"determiner/pronoun, double conjunction or pre-quantifier"
AP,PRON,PostQuant,,,many other next more last former little several enough most least only very few fewer past same Last latter less single plenty 'nough lesser certain various manye next-to-last particular final previous present nuf,"determiner/pronoun, post-determiner"
AP$,PRON,PostQuant,Neg,,other's,"determiner/pronoun, post-determiner, genitive"
AP+AP,,,,,many-much,"determiner/pronoun, post-determiner, hyphenated pair"
AT,ART,Indef,,an,the an no a every th' ever' ye,article
AT,ART,Indef,,a,the an no a every th' ever' ye,article
AT,ART,Def,,the,the an no a every th' ever' ye,article
BE,AUX,Bare,,be,be,"verb ""to be"", infinitive or imperative"
BE,AUX,Bare,,be,be,"verb ""to be"", infinitive or imperative"
BED,AUX,,"2P,Sg,Past",were,were,"verb ""to be"", past tense, 2nd person singular or all persons plural"
BED,AUX,,"1P,Pl,Past",were,were,"verb ""to be"", past tense, 2nd person singular or all persons plural"
BED,AUX,,"2P,Pl,Past",were,were,"verb ""to be"", past tense, 2nd person singular or all persons plural"
BED,AUX,,"3P,Pl,Past",were,were,"verb ""to be"", past tense, 2nd person singular or all persons plural"
BED*,AUX,,"1P,Pl,Past,Neg",weren't,weren't,"verb ""to be"", past tense, 2nd person singular or all persons plural, negated"
BED*,AUX,,"2P,Sg,Past,Neg",weren't,weren't,"verb ""to be"", past tense, 2nd person singular or all persons plural, negated"
BED*,AUX,,"2P,Pl,Pas,Neg",weren't,weren't,"verb ""to be"", past tense, 2nd person singular or all persons plural, negated"
BED*,AUX,,"3P,Pl,Past,Neg",weren't,weren't,"verb ""to be"", past tense, 2nd person singular or all persons plural, negated"
BEDZ,AUX,,"3P,Sg,Past",was,was,"verb ""to be"", past tense, 1st and 3rd person singular"
BEDZ,AUX,,"1P,SG,Past",was,was,"verb ""to be"", past tense, 1st and 3rd person singular"
BEDZ*,AUX,,"1P,Sg,Past,Neg",,wasn't,"verb ""to be"", past tense, 1st and 3rd person singular, negated"
BEDZ*,AUX,,"3P,Sg,Past,Neg",,wasn't,"verb ""to be"", past tense, 1st and 3rd person singular, negated"
BEG,AUX,,PresPart,,being,"verb ""to be"", present participle or gerund"
BEM,AUX,,"1P,Sg,Pres",,am,"verb ""to be"", present tense, 1st person singular"
BEM*,AUX,,Neg,,ain't,"verb ""to be"", present tense, 1st person singular, negated"
BEN,AUX,,PastPart,,been,"verb ""to be"", past participle"
BER,AUX,,"2P,Sg,Pres",,are art,"verb ""to be"", present tense, 2nd person singular or all persons plural"
BER,AUX,,"1P,Pl,Pres",,are art,"verb ""to be"", present tense, 2nd person singular or all persons plural"
BER,AUX,,"2P,Pl,Pres",,are art,"verb ""to be"", present tense, 2nd person singular or all persons plural"
BER,AUX,,"3P,Pl,Pres",,are art,"verb ""to be"", present tense, 2nd person singular or all persons plural"
BER*,AUX,,"2P,Sg,Pres,Neg",,aren't ain't,"verb ""to be"", present tense, 2nd person singular or all persons plural, negated"
BER*,AUX,,"1P,Pl,Pres,Neg",,aren't ain't,"verb ""to be"", present tense, 2nd person singular or all persons plural, negated"
BER*,AUX,,"2P,Pl,Pres,Neg",,aren't ain't,"verb ""to be"", present tense, 2nd person singular or all persons plural, negated"
BER*,AUX,,"3P,Pl,Pres,Neg",,aren't ain't,"verb ""to be"", present tense, 2nd person singular or all persons plural, negated"
BEZ,AUX,,"3P,Sg,Pres",,is,"verb ""to be"", present tense, 3rd person singular"
BEZ*,AUX,,"3p,Sg,Pres,Neg",,isn't ain't,"verb ""to be"", present tense, 3rd person singular, negated"
CC,CONJ,Coord,,,and or but plus & either neither nor yet 'n' and/or minus an',"conjunction, coordinating"
CD,NUM,Card,,,"two one 1 four 2 1913 71 74 637 1937 8 five three million 87-31 29-5 seven 1,119 fifty-three 7.5 billion hundred 125,000 1,700 60 100 six ...","numeral, cardinal"
CD$,Num,Card,Gen,,1960's 1961's .404's,"numeral, cardinal, genitive"
CS,CONJ,Subord,,,that as after whether before while like because if since for than altho until so unless though providing once lest s'posin' till whereas whereupon supposing tho' albeit then so's 'fore,"conjunction, subordinating"
DO,AUX,Bare,,,do dost,"verb ""to do"", uninflected present tense, infinitive or imperative"
DO*,AUX,Bare,Neg,,don't,"verb ""to do"", uninflected present tense or imperative, negated"
DO+PPSS,,,,,d'you,"verb ""to do"", past or present tense + pronoun, personal, nominative, not 3rd person singular"
DOD,AUX,Finite,Past,,did done,"verb ""to do"", past tense"
DOD*,AUX,Finite,"Past,Neg",,didn't,"verb ""to do"", past tense, negated"
DOZ,AUX,Finite,"3P,Sg,Pres",,does,"verb ""to do"", present tense, 3rd person singular"
DOZ*,AUX,Finite,Neg,,doesn't don't,"verb ""to do"", present tense, 3rd person singular, negated"
DT,PRON,Finite,Sg,,this each another that 'nother,"determiner/pronoun, singular"
DT$,PRON,Finite,"Sg,Neg",,another's,"determiner/pronoun, singular, genitive"
DT+BEZ,,,,,that's,"determiner/pronoun + verb ""to be"", present tense, 3rd person singular"
DT+MD,,,,,that'll this'll,determiner/pronoun + modal auxillary
DTI,PRON,PreQuant,,,any some,"determiner/pronoun, singular or plural"
DTS,PRON,,Pl,,these those them,"determiner/pronoun, plural"
DTS+BEZ,,,,,them's,"pronoun, plural + verb ""to be"", present tense, 3rd person singular"
